id,nama,kategori
1218,Telur Ayam ceplok,Makanan dan Minuman
1219,Telur Ayam dadar,Makanan dan Minuman
1220,Telur ayam kampung ,Makanan dan Minuman
1221,Telur bebek bagian kuning segar,Makanan dan Minuman
1222,Telur Bebek bagian putih,Makanan dan Minuman
1223,Telur bebek bagian putih segar,Makanan dan Minuman
1224,Telur Bebek ceplok,Makanan dan Minuman
1225,Telur Bebek dadar,Makanan dan Minuman
1226,Telur bebek tambak segar,Makanan dan Minuman
1227,Telur Bebek telur asin,Makanan dan Minuman
1228,Telur burung puyuh segar,Makanan dan Minuman
1229,Telur Penyu,Makanan dan Minuman
1230,Telur Terubuk,Makanan dan Minuman
1231,Tempe bongkrek,Makanan dan Minuman
1232,Tempe Gembus,Makanan dan Minuman
1233,Tempe gembus yogya,Makanan dan Minuman
1234,Tempe Goreng ,Makanan dan Minuman
1235,Tempe kacang babi,Makanan dan Minuman
1236,Tempe kacang belimbing,Makanan dan Minuman
1237,Tempe kedelai + jagung,Makanan dan Minuman
1238,Tempe kedelai murni goreng,Makanan dan Minuman
1239,Tempe kedelai murni mentah,Makanan dan Minuman
1240,Tempe koro benguk,Makanan dan Minuman
1241,Tempe lamtoro var. gung dengan kulit,Makanan dan Minuman
1242,Tempe lamtoro var. gung tanpa kulit,Makanan dan Minuman
1243,Tempe pasar segar,Makanan dan Minuman
1244,Tempe pasar goreng,Makanan dan Minuman
1245,Tempe Sayur ,Makanan dan Minuman
1246,Tempoya,Makanan dan Minuman
1247,Tempuyak,Makanan dan Minuman
1248,Tepung Arrowroot,Makanan dan Minuman
1249,Tepung Beras,Makanan dan Minuman
1250,Tepung beras mentah,Makanan dan Minuman
1251,Tepung Ganyong,Makanan dan Minuman
1252,Tepung Gaplek,Makanan dan Minuman
1253,Tepung Garut (arrowroot),Makanan dan Minuman
1254,Tepung Hunkwee,Makanan dan Minuman
1255,Tepung Ikan,Makanan dan Minuman
1256,Tepung Jagung Kuning,Makanan dan Minuman
1257,Tepung jagung putih,Makanan dan Minuman
1258,Tepung Jalejo,Makanan dan Minuman
1259,Tepung Kacang Kedelai,Makanan dan Minuman
1260,Tepung Kentang,Makanan dan Minuman
1261,Tepung Mocaf,Makanan dan Minuman
1262,Tepung Pisang,Makanan dan Minuman
1263,Tepung Sagu,Makanan dan Minuman
1264,Tepung Sente,Makanan dan Minuman
1265,Tepung singkong/ Tapioka,Makanan dan Minuman
1266,Tepung Sukun,Makanan dan Minuman
1267,Tepung Susu,Makanan dan Minuman
1268,Tepung Susu Asam untuk bayi,Makanan dan Minuman
1269,Tepung Susu Skim,Makanan dan Minuman
1270,Tepung Tales Beneng,Makanan dan Minuman
1271,Tepung Terigu,Makanan dan Minuman
1272,Tepung Ubi Ungu,Makanan dan Minuman
1273,Terasi,Makanan dan Minuman
1274,Terasi dobo,Makanan dan Minuman
1275,Terasi Merah,Makanan dan Minuman
1276,Terasi merah,Makanan dan Minuman
1277,Teri balado masakan,Makanan dan Minuman
1278,Teripang dendeng mentah,Makanan dan Minuman
1279,Terong,Makanan dan Minuman
1280,Terong + Oncom makanan,Makanan dan Minuman
1281,Terong Asam,Makanan dan Minuman
1282,Terong Belanda,Makanan dan Minuman
1283,Terong hintalo segar,Makanan dan Minuman
1284,Terong kukus,Makanan dan Minuman
1285,Terong segar,Makanan dan Minuman
1286,Terung belanda segar,Makanan dan Minuman
1287,Terung bengkulu segar,Makanan dan Minuman
1288,Terung panjang,Makanan dan Minuman
1289,Terung panjang kukus,Makanan dan Minuman
1290,Tespong daun,Makanan dan Minuman
1291,Tim (nasi tim),Makanan dan Minuman
1292,Tinira ninahu nggaluku,Makanan dan Minuman
1293,Tinoransak masakan,Makanan dan Minuman
1294,Tipa-tipa,Makanan dan Minuman
1295,Tiwul  ,Makanan dan Minuman
1296,Tiwul Instan,Makanan dan Minuman
1297,Toge -Tahu makanan,Makanan dan Minuman
1298,Toge Goreng ,Makanan dan Minuman
1299,Toge kacang ijo,Makanan dan Minuman
1300,Toge kacang tunggak,Makanan dan Minuman
1301,Toge kedelai,Makanan dan Minuman
1302,Toge seduh,Makanan dan Minuman
1303,Tomat air (juice) segar,Makanan dan Minuman
1304,Tomat Masak,Makanan dan Minuman
1305,Tomat merah segar,Makanan dan Minuman
1306,Tomat muda segar,Makanan dan Minuman
1307,Tumis bandeng,Makanan dan Minuman
1308,Tumis bayam bersantan,Makanan dan Minuman
1309,Ubi Cilembu,Makanan dan Minuman
1310,Ubi Jalar Goreng ,Makanan dan Minuman
1311,Ubi jalar kuning kukus,Makanan dan Minuman
1312,Ubi jalar kuning segar,Makanan dan Minuman
1313,Ubi jalar manis segar,Makanan dan Minuman
1314,Ubi Jalar Merah,Makanan dan Minuman
1315,Ubi jalar merah segar,Makanan dan Minuman
1316,Ubi Jalar Putih,Makanan dan Minuman
1317,Ubi Jalar Rebus,Makanan dan Minuman
1318,Ubi Jalar Sayur,Makanan dan Minuman
1319,Ubi jalar tinta/ kemayung,Makanan dan Minuman
1320,Ubi jalar tinta/ kemayung kukus,Makanan dan Minuman
1321,Uceng/ bunga melinjo segar,Makanan dan Minuman
1322,Udang besar segar,Makanan dan Minuman
1323,Udang galah segar,Makanan dan Minuman
1324,Udang kering,Makanan dan Minuman
1325,Udang kering mentah,Makanan dan Minuman
1326,Udang papay mentah,Makanan dan Minuman
1327,Udang segar,Makanan dan Minuman
1328,Ulat sagu panggang,Makanan dan Minuman
1329,Ulat sagu segar,Makanan dan Minuman
1330,Umbi Uwi segar,Makanan dan Minuman
1331,Umbut rotan,Makanan dan Minuman
1332,Usus Sapi,Makanan dan Minuman
1333,Uwi,Makanan dan Minuman
1334,Vermicelli,Makanan dan Minuman
1335,Wajit camilan,Makanan dan Minuman
1336,Waluh balamak,Makanan dan Minuman
1337,Widaran,Makanan dan Minuman
1338,Wijen,Makanan dan Minuman
1339,Wingko babat,Makanan dan Minuman
1340,Woku ubi,Makanan dan Minuman
1341,Worst (sosis daging),Makanan dan Minuman
1342,Wortel Segar,Makanan dan Minuman
1343,Wortel kukus,Makanan dan Minuman
1344,Wortel rebus,Makanan dan Minuman
1345,Yangko,Makanan dan Minuman
1346,Yoghurt,Makanan dan Minuman
1347,Blouse,Belanja
1348,Sweater,Belanja
1349,Jeans,Belanja
1350,Sandals,Belanja
1351,Blouse,Belanja
1352,Sneakers,Belanja
1353,Shirt,Belanja
1354,Shorts,Belanja
1355,Coat,Belanja
1356,Handbag,Belanja
1357,Shoes,Belanja
1358,Shorts,Belanja
1359,Coat,Belanja
1360,Dress,Belanja
1361,Coat,Belanja
1362,Skirt,Belanja
1363,Sunglasses,Belanja
1364,Dress,Belanja
1365,Sweater,Belanja
1366,Pants,Belanja
1367,Pants,Belanja
1368,Pants,Belanja
1369,Pants,Belanja
1370,Pants,Belanja
1371,Jacket,Belanja
1372,Hoodie,Belanja
1373,Jewelry,Belanja
1374,Shorts,Belanja
1375,Handbag,Belanja
1376,Dress,Belanja
1377,Jewelry,Belanja
1378,Dress,Belanja
1379,Jacket,Belanja
1380,Pants,Belanja
1381,T-shirt,Belanja
1382,Blouse,Belanja
1383,T-shirt,Belanja
1384,Jeans,Belanja
1385,Dress,Belanja
1386,Pants,Belanja
1387,Handbag,Belanja
1388,Scarf,Belanja
1389,Coat,Belanja
1390,Scarf,Belanja
1391,Hat,Belanja
1392,Socks,Belanja
1393,Shirt,Belanja
1394,Jewelry,Belanja
1395,Shirt,Belanja
1396,Hoodie,Belanja
1397,Blouse,Belanja
1398,Skirt,Belanja
1399,T-shirt,Belanja
1400,Skirt,Belanja
1401,Coat,Belanja
1402,Jacket,Belanja
1403,Backpack,Belanja
1404,Coat,Belanja
1405,Hoodie,Belanja
1406,Belt,Belanja
1407,Sweater,Belanja
1408,Scarf,Belanja
1409,Sneakers,Belanja
1410,Sunglasses,Belanja
1411,Boots,Belanja
1412,Backpack,Belanja
1413,Blouse,Belanja
1414,Coat,Belanja
1415,Handbag,Belanja
1416,Belt,Belanja
1417,Belt,Belanja
1418,Dress,Belanja
1419,Dress,Belanja
1420,Pants,Belanja
1421,Gloves,Belanja
1422,Scarf,Belanja
1423,Hat,Belanja
1424,Dress,Belanja
1425,Skirt,Belanja
1426,Jacket,Belanja
1427,Sandals,Belanja
1428,Shoes,Belanja
1429,Pants,Belanja
1430,Dress,Belanja
1431,Coat,Belanja
1432,Sunglasses,Belanja
1433,Hoodie,Belanja
1434,Shoes,Belanja
1435,T-shirt,Belanja
1436,Jacket,Belanja
1437,Hat,Belanja
1438,Scarf,Belanja
1439,Jacket,Belanja
1440,Sweater,Belanja
1441,Skirt,Belanja
1442,Sneakers,Belanja
1443,Gloves,Belanja
1444,Shoes,Belanja
1445,Jeans,Belanja
1446,Hoodie,Belanja
1447,Sunglasses,Belanja
1448,Coat,Belanja
1449,Socks,Belanja
1450,Boots,Belanja
1451,Sunglasses,Belanja
1452,Backpack,Belanja
1453,Jacket,Belanja
1454,Sneakers,Belanja
1455,Socks,Belanja
1456,T-shirt,Belanja
1457,Backpack,Belanja
1458,Belt,Belanja
1459,Gloves,Belanja
1460,Hat,Belanja
1461,Coat,Belanja
1462,Skirt,Belanja
1463,Shoes,Belanja
1464,Sandals,Belanja
1465,Sweater,Belanja
1466,Coat,Belanja
1467,Hat,Belanja
1468,Shorts,Belanja
1469,Backpack,Belanja
1470,Sweater,Belanja
1471,Sweater,Belanja
1472,Shorts,Belanja
1473,Shorts,Belanja
1474,Sweater,Belanja
1475,Scarf,Belanja
1476,Dress,Belanja
1477,Scarf,Belanja
1478,Skirt,Belanja
1479,Backpack,Belanja
1480,Sweater,Belanja
1481,Hat,Belanja
1482,Sandals,Belanja
1483,Blouse,Belanja
1484,Sneakers,Belanja
1485,Skirt,Belanja
1486,Coat,Belanja
1487,Shirt,Belanja
1488,Gloves,Belanja
1489,Jacket,Belanja
1490,Coat,Belanja
1491,Shoes,Belanja
1492,Jewelry,Belanja
1493,Skirt,Belanja
1494,Shoes,Belanja
1495,Gloves,Belanja
1496,Pants,Belanja
1497,Boots,Belanja
1498,Sunglasses,Belanja
1499,Shirt,Belanja
1500,Hoodie,Belanja
1501,Dress,Belanja
1502,Socks,Belanja
1503,Shorts,Belanja
1504,Hat,Belanja
1505,Shirt,Belanja
1506,Gloves,Belanja
1507,Gloves,Belanja
1508,Backpack,Belanja
1509,Sunglasses,Belanja
1510,Skirt,Belanja
1511,Handbag,Belanja
1512,Handbag,Belanja
1513,Sneakers,Belanja
1514,Gloves,Belanja
1515,Shoes,Belanja
1516,Jacket,Belanja
1517,Shirt,Belanja
1518,Shorts,Belanja
1519,Jewelry,Belanja
1520,Hat,Belanja
1521,Shoes,Belanja
1522,Coat,Belanja
1523,Backpack,Belanja
1524,Hoodie,Belanja
1525,Skirt,Belanja
1526,Boots,Belanja
1527,Sandals,Belanja
1528,Pants,Belanja
1529,Gloves,Belanja
1530,Skirt,Belanja
1531,Sneakers,Belanja
1532,T-shirt,Belanja
1533,Backpack,Belanja
1534,Shoes,Belanja
1535,Hoodie,Belanja
1536,Blouse,Belanja
1537,Coat,Belanja
1538,Hat,Belanja
1539,Shoes,Belanja
1540,Belt,Belanja
1541,Backpack,Belanja
1542,Jacket,Belanja
1543,Boots,Belanja
1544,Scarf,Belanja
1545,Jewelry,Belanja
1546,Hat,Belanja
1547,Dress,Belanja
1548,Blouse,Belanja
1549,Hat,Belanja
1550,Scarf,Belanja
1551,Sneakers,Belanja
1552,Shirt,Belanja
1553,T-shirt,Belanja
1554,Gloves,Belanja
1555,Skirt,Belanja
1556,Sandals,Belanja
1557,Jacket,Belanja
1558,Skirt,Belanja
1559,Handbag,Belanja
1560,Handbag,Belanja
1561,Jacket,Belanja
1562,Scarf,Belanja
1563,Shorts,Belanja
1564,Sunglasses,Belanja
1565,T-shirt,Belanja
1566,Belt,Belanja
1567,Sneakers,Belanja
1568,Hat,Belanja
1569,Gloves,Belanja
1570,Pants,Belanja
1571,Socks,Belanja
1572,Jacket,Belanja
1573,Shoes,Belanja
1574,Jeans,Belanja
1575,Socks,Belanja
1576,Sandals,Belanja
1577,Scarf,Belanja
1578,Blouse,Belanja
1579,Jewelry,Belanja
1580,Sweater,Belanja
1581,Gloves,Belanja
1582,Sunglasses,Belanja
1583,Coat,Belanja
1584,Dress,Belanja
1585,Skirt,Belanja
1586,Pants,Belanja
1587,Sweater,Belanja
1588,Hoodie,Belanja
1589,Coat,Belanja
1590,Jewelry,Belanja
1591,Belt,Belanja
1592,Sandals,Belanja
1593,Sunglasses,Belanja
1594,Sweater,Belanja
1595,Belt,Belanja
1596,Handbag,Belanja
1597,Skirt,Belanja
1598,Handbag,Belanja
1599,Shorts,Belanja
1600,Boots,Belanja
1601,Sunglasses,Belanja
1602,Scarf,Belanja
1603,Jewelry,Belanja
1604,Handbag,Belanja
1605,Gloves,Belanja
1606,Jeans,Belanja
1607,Hat,Belanja
1608,Jeans,Belanja
1609,Pants,Belanja
1610,Shorts,Belanja
1611,Pants,Belanja
1612,Backpack,Belanja
1613,Jewelry,Belanja
1614,Sweater,Belanja
1615,Shoes,Belanja
1616,Blouse,Belanja
1617,Jeans,Belanja
1618,Sunglasses,Belanja
1619,Jewelry,Belanja
1620,Coat,Belanja
1621,Jewelry,Belanja
1622,Backpack,Belanja
1623,Skirt,Belanja
1624,Shirt,Belanja
1625,Sweater,Belanja
1626,Sneakers,Belanja
1627,Sandals,Belanja
1628,Belt,Belanja
1629,Skirt,Belanja
1630,Sweater,Belanja
1631,Skirt,Belanja
1632,Handbag,Belanja
1633,Jewelry,Belanja
1634,Scarf,Belanja
1635,T-shirt,Belanja
1636,Coat,Belanja
1637,T-shirt,Belanja
1638,Dress,Belanja
1639,Shoes,Belanja
1640,Handbag,Belanja
1641,Skirt,Belanja
1642,Sunglasses,Belanja
1643,Sandals,Belanja
1644,Shoes,Belanja
1645,T-shirt,Belanja
1646,Sneakers,Belanja
1647,Hat,Belanja
1648,Skirt,Belanja
1649,Sweater,Belanja
1650,Sandals,Belanja
1651,Dress,Belanja
1652,Sweater,Belanja
1653,Jacket,Belanja
1654,Gloves,Belanja
1655,Handbag,Belanja
1656,Dress,Belanja
1657,Pants,Belanja
1658,Jeans,Belanja
1659,Pants,Belanja
1660,Dress,Belanja
1661,Pants,Belanja
1662,Jewelry,Belanja
1663,Handbag,Belanja
1664,Sweater,Belanja
1665,Backpack,Belanja
1666,Shorts,Belanja
1667,Jewelry,Belanja
1668,Sneakers,Belanja
1669,Belt,Belanja
1670,Hoodie,Belanja
1671,Shirt,Belanja
1672,Pants,Belanja
1673,Scarf,Belanja
1674,Coat,Belanja
1675,Coat,Belanja
1676,Socks,Belanja
1677,Sweater,Belanja
1678,Shirt,Belanja
1679,Shirt,Belanja
1680,Sweater,Belanja
1681,Blouse,Belanja
1682,Sweater,Belanja
1683,Hat,Belanja
1684,Sweater,Belanja
1685,Hoodie,Belanja
1686,Shorts,Belanja
1687,Shorts,Belanja
1688,Hat,Belanja
1689,Coat,Belanja
1690,Sandals,Belanja
1691,Skirt,Belanja
1692,Shoes,Belanja
1693,Jeans,Belanja
1694,Sandals,Belanja
1695,Blouse,Belanja
1696,Hat,Belanja
1697,Sweater,Belanja
1698,Skirt,Belanja
1699,Jeans,Belanja
1700,Sneakers,Belanja
1701,Jewelry,Belanja
1702,Jewelry,Belanja
1703,Pants,Belanja
1704,Belt,Belanja
1705,Hat,Belanja
1706,Sneakers,Belanja
1707,Pants,Belanja
1708,T-shirt,Belanja
1709,Sneakers,Belanja
1710,Shorts,Belanja
1711,Shoes,Belanja
1712,Gloves,Belanja
1713,Socks,Belanja
1714,Dress,Belanja
1715,Handbag,Belanja
1716,Belt,Belanja
1717,Scarf,Belanja
1718,Sneakers,Belanja
1719,Sweater,Belanja
1720,Coat,Belanja
1721,Jewelry,Belanja
1722,Sunglasses,Belanja
1723,Shoes,Belanja
1724,Scarf,Belanja
1725,Dress,Belanja
1726,T-shirt,Belanja
1727,Backpack,Belanja
1728,Jewelry,Belanja
1729,Jeans,Belanja
1730,Sunglasses,Belanja
1731,Sweater,Belanja
1732,Shorts,Belanja
1733,Jewelry,Belanja
1734,Coat,Belanja
1735,Handbag,Belanja
1736,Boots,Belanja
1737,Gloves,Belanja
1738,Sweater,Belanja
1739,T-shirt,Belanja
1740,Shoes,Belanja
1741,Scarf,Belanja
1742,Sneakers,Belanja
1743,Dress,Belanja
1744,Belt,Belanja
1745,Boots,Belanja
1746,Scarf,Belanja
1747,Boots,Belanja
1748,T-shirt,Belanja
1749,Backpack,Belanja
1750,Sneakers,Belanja
1751,T-shirt,Belanja
1752,Jeans,Belanja
1753,Gloves,Belanja
1754,Hoodie,Belanja
1755,Sneakers,Belanja
1756,Shorts,Belanja
1757,Sweater,Belanja
1758,Jeans,Belanja
1759,Jacket,Belanja
1760,Jewelry,Belanja
1761,Backpack,Belanja
1762,Coat,Belanja
1763,Belt,Belanja
1764,Sandals,Belanja
1765,Sweater,Belanja
1766,Shorts,Belanja
1767,Socks,Belanja
1768,Shirt,Belanja
1769,Pants,Belanja
1770,Scarf,Belanja
1771,Sweater,Belanja
1772,Jeans,Belanja
1773,Pants,Belanja
1774,Backpack,Belanja
1775,Coat,Belanja
1776,Sandals,Belanja
1777,Shirt,Belanja
1778,Hat,Belanja
1779,Shirt,Belanja
1780,Skirt,Belanja
1781,Shoes,Belanja
1782,Coat,Belanja
1783,Pants,Belanja
1784,Jewelry,Belanja
1785,Belt,Belanja
1786,Jacket,Belanja
1787,Shirt,Belanja
1788,Hoodie,Belanja
1789,Sunglasses,Belanja
1790,Sunglasses,Belanja
1791,Dress,Belanja
1792,Boots,Belanja
1793,Shirt,Belanja
1794,Shorts,Belanja
1795,Gloves,Belanja
1796,Jewelry,Belanja
1797,Boots,Belanja
1798,Jewelry,Belanja
1799,Pants,Belanja
1800,Jewelry,Belanja
1801,Jacket,Belanja
1802,Blouse,Belanja
1803,Blouse,Belanja
1804,Gloves,Belanja
1805,Shorts,Belanja
1806,Hat,Belanja
1807,Shoes,Belanja
1808,Boots,Belanja
1809,Jacket,Belanja
1810,Jewelry,Belanja
1811,Sunglasses,Belanja
1812,Skirt,Belanja
1813,Jeans,Belanja
1814,Backpack,Belanja
1815,Backpack,Belanja
1816,Shorts,Belanja
1817,Dress,Belanja
1818,Scarf,Belanja
1819,Jeans,Belanja
1820,Coat,Belanja
1821,Sweater,Belanja
1822,Sneakers,Belanja
1823,Scarf,Belanja
1824,Sweater,Belanja
1825,Jewelry,Belanja
1826,Handbag,Belanja
1827,Hoodie,Belanja
1828,Hat,Belanja
1829,Belt,Belanja
1830,Hoodie,Belanja
1831,Hat,Belanja
1832,Shoes,Belanja
1833,Sandals,Belanja
1834,Jacket,Belanja
1835,Sweater,Belanja
1836,Socks,Belanja
1837,Sneakers,Belanja
1838,Coat,Belanja
1839,Shirt,Belanja
1840,Backpack,Belanja
1841,Boots,Belanja
1842,Handbag,Belanja
1843,Dress,Belanja
1844,Sneakers,Belanja
1845,Boots,Belanja
1846,Shoes,Belanja
1847,T-shirt,Belanja
1848,Boots,Belanja
1849,Pants,Belanja
1850,Shoes,Belanja
1851,Shoes,Belanja
1852,T-shirt,Belanja
1853,Scarf,Belanja
1854,Shorts,Belanja
1855,Jewelry,Belanja
1856,T-shirt,Belanja
1857,Shirt,Belanja
1858,Shirt,Belanja
1859,Gloves,Belanja
1860,Scarf,Belanja
1861,Skirt,Belanja
1862,Hat,Belanja
1863,Hoodie,Belanja
1864,Boots,Belanja
1865,Blouse,Belanja
1866,Belt,Belanja
1867,Sunglasses,Belanja
1868,Shorts,Belanja
1869,Gloves,Belanja
1870,Sandals,Belanja
1871,Shirt,Belanja
1872,Coat,Belanja
1873,Pants,Belanja
1874,T-shirt,Belanja
1875,Sneakers,Belanja
1876,Shorts,Belanja
1877,Coat,Belanja
1878,Sandals,Belanja
1879,Pants,Belanja
1880,Sandals,Belanja
1881,Gloves,Belanja
1882,T-shirt,Belanja
1883,Jacket,Belanja
1884,Blouse,Belanja
1885,Socks,Belanja
1886,Coat,Belanja
1887,Dress,Belanja
1888,Jacket,Belanja
1889,Boots,Belanja
1890,Skirt,Belanja
1891,Sandals,Belanja
1892,Coat,Belanja
1893,Hoodie,Belanja
1894,Jacket,Belanja
1895,Backpack,Belanja
1896,Backpack,Belanja
1897,Belt,Belanja
1898,Coat,Belanja
1899,T-shirt,Belanja
1900,Sunglasses,Belanja
1901,Sneakers,Belanja
1902,Gloves,Belanja
1903,Coat,Belanja
1904,Shirt,Belanja
1905,Sneakers,Belanja
1906,Scarf,Belanja
1907,Jewelry,Belanja
1908,Jacket,Belanja
1909,Jeans,Belanja
1910,Shoes,Belanja
1911,Hoodie,Belanja
1912,Backpack,Belanja
1913,Sneakers,Belanja
1914,Blouse,Belanja
1915,Pants,Belanja
1916,Skirt,Belanja
1917,T-shirt,Belanja
1918,Jacket,Belanja
1919,Scarf,Belanja
1920,Pants,Belanja
1921,Sneakers,Belanja
1922,Jeans,Belanja
1923,Hat,Belanja
1924,Skirt,Belanja
1925,Sandals,Belanja
1926,Sandals,Belanja
1927,Sweater,Belanja
1928,Sweater,Belanja
1929,Jacket,Belanja
1930,Shorts,Belanja
1931,Socks,Belanja
1932,Socks,Belanja
1933,Hoodie,Belanja
1934,Socks,Belanja
1935,Boots,Belanja
1936,Shirt,Belanja
1937,Belt,Belanja
1938,Backpack,Belanja
1939,Boots,Belanja
1940,Coat,Belanja
1941,Hoodie,Belanja
1942,Shoes,Belanja
1943,Shoes,Belanja
1944,Jewelry,Belanja
1945,Dress,Belanja
1946,Boots,Belanja
1947,Hat,Belanja
1948,Backpack,Belanja
1949,Shoes,Belanja
1950,Handbag,Belanja
1951,Sunglasses,Belanja
1952,Hat,Belanja
1953,Scarf,Belanja
1954,Hoodie,Belanja
1955,Backpack,Belanja
1956,Sweater,Belanja
1957,Shorts,Belanja
1958,Scarf,Belanja
1959,Hat,Belanja
1960,Coat,Belanja
1961,Jewelry,Belanja
1962,Sandals,Belanja
1963,Gloves,Belanja
1964,Backpack,Belanja
1965,Jacket,Belanja
1966,Backpack,Belanja
1967,Backpack,Belanja
1968,Sunglasses,Belanja
1969,Socks,Belanja
1970,Shoes,Belanja
1971,Pants,Belanja
1972,Jewelry,Belanja
1973,Sunglasses,Belanja
1974,Sandals,Belanja
1975,Sweater,Belanja
1976,Shoes,Belanja
1977,Jewelry,Belanja
1978,Boots,Belanja
1979,Backpack,Belanja
1980,Sandals,Belanja
1981,Sneakers,Belanja
1982,Hoodie,Belanja
1983,Handbag,Belanja
1984,Sweater,Belanja
1985,Sandals,Belanja
1986,Dress,Belanja
1987,Skirt,Belanja
1988,Blouse,Belanja
1989,Skirt,Belanja
1990,Sweater,Belanja
1991,Backpack,Belanja
1992,Hoodie,Belanja
1993,Boots,Belanja
1994,Blouse,Belanja
1995,Hoodie,Belanja
1996,Pants,Belanja
1997,Gloves,Belanja
1998,Hat,Belanja
1999,Sunglasses,Belanja
2000,Scarf,Belanja
2001,Handbag,Belanja
2002,Handbag,Belanja
2003,Jeans,Belanja
2004,Jacket,Belanja
2005,Backpack,Belanja
2006,Shorts,Belanja
2007,Coat,Belanja
2008,Shirt,Belanja
2009,Gloves,Belanja
2010,Dress,Belanja
2011,Pants,Belanja
2012,Pants,Belanja
2013,Hoodie,Belanja
2014,Sunglasses,Belanja
2015,T-shirt,Belanja
2016,Jacket,Belanja
2017,Sweater,Belanja
2018,Jacket,Belanja
2019,Socks,Belanja
2020,Shirt,Belanja
2021,Jewelry,Belanja
2022,Sunglasses,Belanja
2023,Pants,Belanja
2024,Socks,Belanja
2025,Blouse,Belanja
2026,Sandals,Belanja
2027,Sneakers,Belanja
2028,Shirt,Belanja
2029,Jacket,Belanja
2030,Sandals,Belanja
2031,Hat,Belanja
2032,Blouse,Belanja
2033,Sweater,Belanja
2034,Gloves,Belanja
2035,Scarf,Belanja
2036,Hoodie,Belanja
2037,Shorts,Belanja
2038,Backpack,Belanja
2039,Sunglasses,Belanja
2040,Shorts,Belanja
2041,Dress,Belanja
2042,Shorts,Belanja
2043,Belt,Belanja
2044,Scarf,Belanja
2045,Boots,Belanja
2046,Handbag,Belanja
2047,Pants,Belanja
2048,Boots,Belanja
2049,Shirt,Belanja
2050,Dress,Belanja
2051,Hoodie,Belanja
2052,Pants,Belanja
2053,Jeans,Belanja
2054,Shirt,Belanja
2055,Backpack,Belanja
2056,Jacket,Belanja
2057,Scarf,Belanja
2058,Boots,Belanja
2059,Blouse,Belanja
2060,Hoodie,Belanja
2061,Jacket,Belanja
2062,Jeans,Belanja
2063,Jewelry,Belanja
2064,Socks,Belanja
2065,Shirt,Belanja
2066,Shorts,Belanja
2067,Jewelry,Belanja
2068,Blouse,Belanja
2069,Sweater,Belanja
2070,Jewelry,Belanja
2071,T-shirt,Belanja
2072,Hat,Belanja
2073,Shorts,Belanja
2074,Sweater,Belanja
2075,Jeans,Belanja
2076,Sunglasses,Belanja
2077,Boots,Belanja
2078,Coat,Belanja
2079,Shirt,Belanja
2080,Dress,Belanja
2081,Shirt,Belanja
2082,Sunglasses,Belanja
2083,Dress,Belanja
2084,Sunglasses,Belanja
2085,Sunglasses,Belanja
2086,Shorts,Belanja
2087,Jeans,Belanja
2088,T-shirt,Belanja
2089,Pants,Belanja
2090,Sunglasses,Belanja
2091,Boots,Belanja
2092,T-shirt,Belanja
2093,Sandals,Belanja
2094,Shorts,Belanja
2095,Hat,Belanja
2096,Scarf,Belanja
2097,T-shirt,Belanja
2098,Gloves,Belanja
2099,Scarf,Belanja
2100,Boots,Belanja
2101,Gloves,Belanja
2102,Coat,Belanja
2103,Belt,Belanja
2104,Hoodie,Belanja
2105,Shoes,Belanja
2106,Dress,Belanja
2107,Gloves,Belanja
2108,Jewelry,Belanja
2109,Belt,Belanja
2110,Sweater,Belanja
2111,Skirt,Belanja
2112,Sneakers,Belanja
2113,Gloves,Belanja
2114,Coat,Belanja
2115,Backpack,Belanja
2116,Socks,Belanja
2117,Sneakers,Belanja
2118,Sweater,Belanja
2119,Jeans,Belanja
2120,Hat,Belanja
2121,Hat,Belanja
2122,Handbag,Belanja
2123,Shirt,Belanja
2124,Socks,Belanja
2125,Socks,Belanja
2126,Dress,Belanja
2127,Shoes,Belanja
2128,Scarf,Belanja
2129,Hoodie,Belanja
2130,T-shirt,Belanja
2131,Jeans,Belanja
2132,Shorts,Belanja
2133,Hat,Belanja
2134,Handbag,Belanja
2135,Pants,Belanja
2136,Handbag,Belanja
2137,Sweater,Belanja
2138,Scarf,Belanja
2139,Sneakers,Belanja
2140,Pants,Belanja
2141,Backpack,Belanja
2142,Sandals,Belanja
2143,Socks,Belanja
2144,Coat,Belanja
2145,Socks,Belanja
2146,Belt,Belanja
2147,Socks,Belanja
2148,Belt,Belanja
2149,Pants,Belanja
2150,Shorts,Belanja
2151,Boots,Belanja
2152,Dress,Belanja
2153,Jeans,Belanja
2154,T-shirt,Belanja
2155,Shoes,Belanja
2156,Boots,Belanja
2157,Scarf,Belanja
2158,Sneakers,Belanja
2159,Boots,Belanja
2160,Handbag,Belanja
2161,Shirt,Belanja
2162,Hat,Belanja
2163,Sweater,Belanja
2164,Handbag,Belanja
2165,Shirt,Belanja
2166,Sunglasses,Belanja
2167,Sneakers,Belanja
2168,Hoodie,Belanja
2169,Shirt,Belanja
2170,Sunglasses,Belanja
2171,Blouse,Belanja
2172,Belt,Belanja
2173,Dress,Belanja
2174,Shoes,Belanja
2175,Socks,Belanja
2176,Socks,Belanja
2177,Shorts,Belanja
2178,Gloves,Belanja
2179,Jacket,Belanja
2180,Handbag,Belanja
2181,Backpack,Belanja
2182,Boots,Belanja
2183,Gloves,Belanja
2184,Hoodie,Belanja
2185,Coat,Belanja
